tarih,gercek,tahmin,artis_olasiligi
2022-01-02,0,1,0.7209
2022-01-09,1,1,0.7209
2022-01-16,1,1,0.7209
2022-01-23,0,1,0.7209
2022-01-30,0,1,0.7209
2022-02-06,0,1,0.7209
2022-02-13,1,1,0.7209
2022-02-20,0,1,0.7209
2022-02-27,0,1,0.7209
2022-03-06,1,1,0.7209
2022-03-13,1,1,0.7209
2022-03-20,1,1,0.7209
2022-03-27,1,1,0.7209
2022-04-03,1,1,0.7209
2022-04-10,1,1,0.7209
2022-04-17,1,1,0.7209
2022-04-24,0,1,0.7209
2022-05-01,0,1,0.7209
2022-05-08,1,1,0.7209
2022-05-15,0,1,0.7209
2022-05-22,0,1,0.7209
2022-05-29,1,1,0.7209
2022-06-05,1,1,0.7209
2022-06-12,0,1,0.7209
2022-06-19,0,1,0.7209
2022-06-26,1,1,0.7209
2022-07-03,0,1,0.7209
2022-07-10,0,1,0.7209
2022-07-17,0,1,0.7209
2022-07-24,1,1,0.7209
2022-07-31,1,1,0.7209
2022-08-07,1,1,0.7209
2022-08-14,1,1,0.7209
2022-08-21,1,1,0.7209
2022-08-28,1,1,0.7209
2022-09-04,1,1,0.7209
2022-09-11,1,1,0.7209
2022-09-18,0,1,0.7209
2022-09-25,0,1,0.7209
2022-10-02,0,1,0.7209
2022-10-09,1,1,0.7209
2022-10-16,1,1,0.7209
2022-10-23,1,1,0.7209
2022-10-30,0,1,0.7209
2022-11-06,1,1,0.7209
2022-11-13,1,1,0.7209
2022-11-20,1,1,0.7209
2022-11-27,1,1,0.7209
2022-12-04,1,1,0.7209
2022-12-11,1,1,0.7209
2022-12-18,1,1,0.7209
2022-12-25,1,1,0.7209
2023-01-01,1,1,0.7209
2023-01-08,0,1,0.7209
2023-01-15,0,1,0.7209
2023-01-22,1,1,0.7209
2023-01-29,0,1,0.7209
2023-02-05,0,1,0.7209
2023-02-12,0,1,0.7209
2023-02-19,1,1,0.7209
2023-02-26,1,1,0.7209
2023-03-05,1,1,0.7209
2023-03-12,1,1,0.7209
2023-03-19,0,1,0.7209
2023-03-26,0,1,0.7209
2023-04-02,0,1,0.7209
2023-04-09,1,1,0.7209
2023-04-16,1,1,0.7209
2023-04-23,0,1,0.7209
2023-04-30,0,1,0.7209
2023-05-07,0,1,0.7209
2023-05-14,1,1,0.7209
2023-05-21,0,1,0.7209
2023-05-28,1,1,0.7209
2023-06-04,1,1,0.7209
2023-06-11,1,1,0.7209
2023-06-18,0,1,0.7209
2023-06-25,1,1,0.7209
2023-07-02,1,1,0.7209
2023-07-09,1,1,0.7209
2023-07-16,1,1,0.7209
2023-07-23,1,1,0.7209
2023-07-30,1,1,0.7209
2023-08-06,1,1,0.7209
2023-08-13,1,1,0.7209
2023-08-20,0,1,0.7209
2023-08-27,1,1,0.7209
2023-09-03,1,1,0.7209
2023-09-10,1,1,0.7209
2023-09-17,0,1,0.7209
2023-09-24,1,1,0.7209
2023-10-01,1,1,0.7209
2023-10-08,1,1,0.7209
2023-10-15,0,1,0.7209
2023-10-22,0,1,0.7209
2023-10-29,1,1,0.7209
2023-11-05,0,1,0.7209
2023-11-12,1,1,0.7209
2023-11-19,1,1,0.7209
2023-11-26,1,1,0.7209
2023-12-03,1,1,0.7209
2023-12-10,0,1,0.7209
2023-12-17,1,1,0.7209
2023-12-24,0,1,0.7209
2023-12-31,0,1,0.7209
2024-01-07,1,1,0.7209
2024-01-14,1,1,0.7209
2024-01-21,1,1,0.7209
2024-01-28,1,1,0.7209
2024-02-04,1,1,0.7209
2024-02-11,1,1,0.7209
2024-02-18,1,1,0.7209
2024-02-25,1,1,0.7209
2024-03-03,0,1,0.7209
2024-03-10,1,1,0.7209
2024-03-17,0,1,0.7209
2024-03-24,1,1,0.7209
2024-03-31,1,1,0.7209
2024-04-07,1,1,0.7209
2024-04-14,1,1,0.7209
2024-04-21,0,1,0.7209
2024-04-28,1,1,0.7209
2024-05-05,1,1,0.7209
2024-05-12,0,1,0.7209
2024-05-19,1,1,0.7209
2024-05-26,1,1,0.7209
2024-06-02,0,1,0.7209
2024-06-09,0,1,0.7209
2024-06-16,1,1,0.7209
2024-06-23,1,1,0.7209
2024-06-30,0,1,0.7209
2024-07-07,1,1,0.7209
2024-07-14,1,1,0.7209
2024-07-21,1,1,0.7209
2024-07-28,0,1,0.7209
2024-08-04,0,1,0.7209
2024-08-11,0,1,0.7209
2024-08-18,0,1,0.7209
2024-08-25,0,1,0.7209
2024-09-01,1,1,0.7209
2024-09-08,0,1,0.7209
2024-09-15,0,1,0.7209
2024-09-22,1,1,0.7209
2024-09-29,0,1,0.7209
2024-10-06,0,1,0.7209
2024-10-13,0,1,0.7209
2024-10-20,0,1,0.7209
2024-10-27,1,1,0.7209
2024-11-03,0,1,0.7209
2024-11-10,1,1,0.7209
2024-11-17,1,1,0.7209
2024-11-24,1,1,0.7209
2024-12-01,1,1,0.7209
2024-12-08,1,1,0.7209
2024-12-15,1,1,0.7209
2024-12-22,0,1,0.7209
2024-12-29,1,0,0.5146
2025-01-05,0,1,0.6127
